treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,2,37.9241,0.0876,1.5600,0.0654,0.4412,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,3,38.4195,0.0987,1.6498,0.0625,0.4344,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,4,33.8729,0.0834,1.5692,0.0712,0.7356,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,5,36.4540,0.0943,1.6276,0.0624,0.6321,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,7,34.6032,0.1023,1.7738,0.0716,0.7029,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,8,31.7405,0.1025,1.7386,0.0866,0.6171,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,0,40.8795,0.0890,1.6798,0.0602,0.8606,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,1,42.4020,0.0896,1.5862,0.0772,0.3932,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,2,41.4507,0.0876,1.5600,0.0654,0.4412,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,3,42.5699,0.0987,1.6498,0.0625,0.4344,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,4,36.9041,0.0834,1.5692,0.0712,0.7356,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,5,40.1460,0.0943,1.6276,0.0624,0.6321,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,7,38.4196,0.1023,1.7738,0.0716,0.7029,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,8,35.1737,0.1025,1.7386,0.0866,0.6171,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,0,35.9918,0.1119,1.7024,0.0686,0.8189,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,1,37.9144,0.1139,1.5676,0.0774,0.3975,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,2,37.3323,0.1057,1.5683,0.0651,0.6362,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,3,37.0396,0.1252,1.6649,0.0696,0.3994,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,4,32.4724,0.0992,1.6436,0.0761,0.8281,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,5,34.8380,0.1205,1.6641,0.0753,0.6490,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,7,32.9169,0.1182,1.8645,0.0749,0.7931,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,8,30.2691,0.1200,1.7996,0.0788,0.5536,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,0,40.5579,0.1119,1.7024,0.0686,0.8189,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,1,42.6415,0.1139,1.5676,0.0774,0.3975,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,2,41.8316,0.1057,1.5683,0.0651,0.6362,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,3,42.2863,0.1252,1.6649,0.0696,0.3994,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,4,35.9832,0.0992,1.6436,0.0761,0.8281,16.6800,True,True,vccn1
