treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype,idate,measurement
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,8,37.1336,0.0741,1.3715,0.0725,0.3197,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,0,44.9099,0.059,1.3836,0.0523,0.4963,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,1,45.2453,0.0544,1.3916,0.0561,0.3072,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,2,44.2595,0.0559,1.4065,0.0519,0.7058,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,3,46.2612,0.0623,1.4315,0.0617,0.3802,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,4,42.6523,0.0595,1.205,0.0638,0.6425,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,5,46.63,0.0695,1.2243,0.0659,0.4252,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,7,43.4893,0.0744,1.3863,0.0618,0.3088,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,8,39.8569,0.0741,1.3715,0.0725,0.3197,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,0,39.2713,0.0736,1.5527,0.0554,0.644,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,1,40.0682,0.0712,1.5398,0.0559,0.429,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,2,39.2003,0.0701,1.5271,0.0614,0.405,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,3,40.3562,0.0852,1.5493,0.0605,0.335,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,4,36.295,0.0712,1.3985,0.0623,0.4584,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,5,39.142,0.0832,1.4368,0.0604,0.4419,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,7,36.8579,0.0958,1.5899,0.0707,0.4567,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,8,33.8912,0.0879,1.5801,0.0749,0.398,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,0,42.283,0.0736,1.5527,0.0554,0.644,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,1,43.0131,0.0712,1.5398,0.0559,0.429,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,2,41.9788,0.0701,1.5271,0.0614,0.405,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,3,43.9947,0.0852,1.5493,0.0605,0.335,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,4,38.9257,0.0712,1.3985,0.0623,0.4584,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,5,42.628,0.0832,1.4368,0.0604,0.4419,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,7,40.5402,0.0958,1.5899,0.0707,0.4567,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,8,36.9351,0.0879,1.5801,0.0749,0.398,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,0,37.2667,0.089,1.6798,0.0602,0.8606,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,1,38.7939,0.0896,1.5862,0.0772,0.3932,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,2,37.9241,0.0876,1.56,0.0654,0.4412,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,3,38.4195,0.0987,1.6498,0.0625,0.4344,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,4,33.8729,0.0834,1.5692,0.0712,0.7356,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,5,36.454,0.0943,1.6276,0.0624,0.6321,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,7,34.6032,0.1023,1.7738,0.0716,0.7029,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,8,31.7405,0.1025,1.7386,0.0866,0.6171,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,0,40.8795,0.089,1.6798,0.0602,0.8606,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,1,42.402,0.0896,1.5862,0.0772,0.3932,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,2,41.4507,0.0876,1.56,0.0654,0.4412,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,3,42.5699,0.0987,1.6498,0.0625,0.4344,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,4,36.9041,0.0834,1.5692,0.0712,0.7356,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,5,40.146,0.0943,1.6276,0.0624,0.6321,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,7,38.4196,0.1023,1.7738,0.0716,0.7029,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,18,diy_data\pimframes\control-20190731-tray5-18.tif,Fmp,t140_ALon,8,35.1737,0.1025,1.7386,0.0866,0.6171,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,0,35.9918,0.1119,1.7024,0.0686,0.8189,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,1,37.9144,0.1139,1.5676,0.0774,0.3975,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,2,37.3323,0.1057,1.5683,0.0651,0.6362,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,3,37.0396,0.1252,1.6649,0.0696,0.3994,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,4,32.4724,0.0992,1.6436,0.0761,0.8281,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,5,34.838,0.1205,1.6641,0.0753,0.649,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,7,32.9169,0.1182,1.8645,0.0749,0.7931,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,19,diy_data\pimframes\control-20190731-tray5-19.tif,Fp,t160_ALon,8,30.2691,0.12,1.7996,0.0788,0.5536,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,0,40.5579,0.1119,1.7024,0.0686,0.8189,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,1,42.6415,0.1139,1.5676,0.0774,0.3975,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,2,41.8316,0.1057,1.5683,0.0651,0.6362,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,3,42.2863,0.1252,1.6649,0.0696,0.3994,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,20,diy_data\pimframes\control-20190731-tray5-20.tif,Fmp,t160_ALon,4,35.9832,0.0992,1.6436,0.0761,0.8281,51.0825,TRUE,TRUE,VCCN1,1,IndC
